TRACKING WITH RESPECT TO FRONT OF VEHICLE 
Order of data is ,X,Y,Z  
Location at frame 170:(,2.028787612915039, 0.0, 32.1340771484375,
Location at frame 171:(,2.028808116912842, 0.0, 31.636251525878905,
Location at frame 172:(,2.028827667236328, 0.0, 31.138132171630858,
Location at frame 173:(,2.028846502304077, 0.0, 30.63970764160156,
Location at frame 174:(,2.028864622116089, 0.0, 30.140958862304686,
Location at frame 175:(,2.028883934020996, 0.0, 29.641866760253905,
Location at frame 176:(,2.0289032459259033, 0.0, 29.142408447265623,
Location at frame 177:(,2.028921604156494, 0.0, 28.64256103515625,
Location at frame 178:(,2.0289390087127686, 0.0, 28.14230545043945,
Location at frame 179:(,2.0289554595947266, 0.0, 27.641622619628905,
Location at frame 180:(,2.028970718383789, 0.0, 27.140499191284178,
Location at frame 181:(,2.028985023498535, 0.0, 26.638921813964842,
Location at frame 182:(,2.028998613357544, 0.0, 26.136877136230467,
Location at frame 183:(,2.0290141105651855, 0.0, 25.634359436035155,
Location at frame 184:(,2.029029130935669, 0.0, 25.13135917663574,
Location at frame 185:(,2.029043197631836, 0.0, 24.627874450683592,
Location at frame 186:(,2.029055595397949, 0.0, 24.123903350830076,
Location at frame 187:(,2.029066562652588, 0.0, 23.61944396972656,
Location at frame 188:(,2.029076337814331, 0.0, 23.114494400024412,
Location at frame 189:(,2.0290846824645996, 0.0, 22.609058456420897,
Location at frame 190:(,2.0290913581848145, 0.0, 22.103138046264647,
Location at frame 191:(,2.0291025638580322, 0.0, 21.59673889160156,
Location at frame 192:(,2.029111623764038, 0.0, 21.08986289978027,
Location at frame 193:(,2.029118537902832, 0.0, 20.582513885498045,
Location at frame 194:(,2.029123544692993, 0.0, 20.074695663452147,
Location at frame 195:(,2.0291264057159424, 0.0, 19.566413955688475,
Location at frame 196:(,2.0291271209716797, 0.0, 19.057672576904295,
Location at frame 197:(,2.029125452041626, 0.0, 18.548477249145506,
Location at frame 198:(,2.029128074645996, 0.0, 18.03883560180664,
Location at frame 199:(,2.0291295051574707, 0.0, 17.528753356933592,
Location at frame 200:(,2.029127597808838, 0.0, 17.01823432922363,
Location at frame 201:(,2.0291221141815186, 0.0, 16.507284240722655,
Location at frame 202:(,2.0291130542755127, 0.0, 15.995910720825195,
Location at frame 203:(,2.0291004180908203, 0.0, 15.484121398925781,
Location at frame 204:(,2.0290865898132324, 0.0, 14.971923904418945,
Location at frame 205:(,2.0290791988372803, 0.0, 14.459325866699219,
Location at frame 206:(,2.029064655303955, 0.0, 13.946336822509766,
Location at frame 207:(,2.029042959213257, 0.0, 13.425232009887695,
Location at frame 208:(,2.0290136337280273, 0.0, 12.897317962646484,
Location at frame 209:(,2.0289762020111084, 0.0, 12.36373908996582,
Location at frame 210:(,2.028949737548828, 0.0, 11.825481491088867,
Location at frame 211:(,2.02891206741333, 0.0, 11.283384399414063,
Location at frame 212:(,2.0288538932800293, 0.0, 10.738154487609863,
Location at frame 213:(,2.0287747383117676, 0.0, 10.190380172729492,
Location at frame 214:(,2.0287203788757324, 0.0, 9.640547828674316,
Location at frame 215:(,2.0286061763763428, 0.0, 9.089057998657227,
Location at frame 216:(,2.028740406036377, 0.0, 8.536233978271484,
Location at frame 217:(,2.0266196727752686, 0.0, 7.982356147766113,
Location at frame 218:(,2.0106396675109863, 0.0, 7.427770690917969,
Location at frame 219:(,1.9995429515838623, 0.0, 6.87234504699707,
Location at frame 220:(,1.9931825399398804, 0.0, 6.316301422119141,
Location at frame 221:(,1.9901784658432007, 0.0, 5.759591178894043,
Location at frame 222:(,2.006927013397217, 0.0, 5.202809886932373,
Location at frame 223:(,2.031745433807373, 0.0, 4.645614700317383,
Location at frame 224:(,2.0743567943573, 0.0, 4.08938606262207,
Location at frame 225:(,2.138035774230957, 0.0, 3.534273223876953,
Location at frame 226:(,2.231102466583252, 0.0, 2.983428077697754,
Location at frame 227:(,2.356809377670288, 0.0, 2.4379583168029786,
Location at frame 228:(,2.544083833694458, 0.0, 1.9089389610290528,
Location at frame 229:(,2.8174941539764404, 0.0, 1.4180768299102784,
Location at frame 230:(,3.2131497859954834, 0.0, 1.0200253295898438,
