TRACKING WITH RESPECT TO FRONT OF VEHICLE 
Order of data is ,X,Y,Z  
Location at frame 170:(,2.028787612915039, 0.0, 36.2340771484375,
Location at frame 171:(,2.028808116912842, 0.0, 35.736251525878906,
Location at frame 172:(,2.028827667236328, 0.0, 35.23813217163086,
Location at frame 173:(,2.028846502304077, 0.0, 34.73970764160156,
Location at frame 174:(,2.028864622116089, 0.0, 34.24095886230469,
Location at frame 175:(,2.028883934020996, 0.0, 33.741866760253906,
Location at frame 176:(,2.0289032459259033, 0.0, 33.242408447265625,
Location at frame 177:(,2.028921604156494, 0.0, 32.74256103515625,
Location at frame 178:(,2.0289390087127686, 0.0, 32.24230545043945,
Location at frame 179:(,2.0289554595947266, 0.0, 31.741622619628906,
Location at frame 180:(,2.028970718383789, 0.0, 31.24049919128418,
Location at frame 181:(,2.028985023498535, 0.0, 30.738921813964843,
Location at frame 182:(,2.028998613357544, 0.0, 30.23687713623047,
Location at frame 183:(,2.0290141105651855, 0.0, 29.734359436035156,
Location at frame 184:(,2.029029130935669, 0.0, 29.231359176635742,
Location at frame 185:(,2.029043197631836, 0.0, 28.727874450683593,
Location at frame 186:(,2.029055595397949, 0.0, 28.223903350830078,
Location at frame 187:(,2.029066562652588, 0.0, 27.719443969726562,
Location at frame 188:(,2.029076337814331, 0.0, 27.214494400024414,
Location at frame 189:(,2.0290846824645996, 0.0, 26.709058456420898,
Location at frame 190:(,2.0290913581848145, 0.0, 26.203138046264648,
Location at frame 191:(,2.0291025638580322, 0.0, 25.696738891601562,
Location at frame 192:(,2.029111623764038, 0.0, 25.189862899780273,
Location at frame 193:(,2.029118537902832, 0.0, 24.682513885498047,
Location at frame 194:(,2.029123544692993, 0.0, 24.174695663452148,
Location at frame 195:(,2.0291264057159424, 0.0, 23.666413955688476,
Location at frame 196:(,2.0291271209716797, 0.0, 23.157672576904297,
Location at frame 197:(,2.029125452041626, 0.0, 22.648477249145508,
Location at frame 198:(,2.029128074645996, 0.0, 22.13883560180664,
Location at frame 199:(,2.0291295051574707, 0.0, 21.628753356933593,
Location at frame 200:(,2.029127597808838, 0.0, 21.118234329223633,
